INCIDENCECODE,CLUSTER
100528889087,0
1007314995715,1
1014902821262,1
1017842527711,1
1018909157155_0,1
1018909157155_1,2
1022353900726,3
1024796026082_0,4
1024796026082_1,4
1026362296318_1,-1
1032058273483,5
1032523929451_0,6
1032523929451_1,7
1033769207982_1,8
1033769207982_2,8
1036294620514_1,-1
1041776938910_1,9
1041776938910_2,8
1041776938910_3,8
1044626769953,10
1046480399812,-1
1049262507382_0,11
1049262507382_1,12
1049262507382_2,13
1051791715381,-1
105613796720_0,-1
105613796720_1,-1
105613796720_2,-1
105613796720_3,4
105613796720_4,4
105613796720_5,-1
1057827755372,14
1059063774211_1,15
1061225447191,-1
1063965100685,1
1066939042652_0,4
1066939042652_1,4
1068470745703,16
1073457361521,1
1075960733328_0,-1
1075960733328_1,-1
1075960733328_2,17
1080318735722_0,18
1080318735722_1,5
108204208405,19
1086214712990,4
1087122983555_0,20
1087122983555_1,-1
1092110887512,16
1095579806308_0,18
1095579806308_1,-1
1097176519054,-1
1097948578620_1,4
1099843598406_0,7
1099843598406_1,3
1099883759301,1
1103859887039,-1
1107134880894_0,9
1107134880894_1,13
1107134880894_2,-1
1108943320434,3
1114684862549_0,21
1114684862549_1,-1
1116021803513,22
112217671251,-1
1124296186622_0,-1
1124296186622_1,3
1129622993686_0,4
1129622993686_1,4
1134141922165,-1
113629196665_0,23
113629196665_1,24
1136450319668,1
1142204276811_0,4
1142204276811_1,25
1144715334968_0,4
1144715334968_1,4
1144801452253,0
1145564612733,4
1146870990725,24
1150412024100_0,4
1150412024100_1,4
1153870713968,1
1155430416610,-1
1155698800056,9
1157491307388,4
1162137020528_1,26
1162137020528_2,27
1162667935943,9
1162780823360,1
1163606094197,16
1172832090995_0,6
1172832090995_1,5
1172985468662,28
1178621100870,18
1183105029730,16
11851705110,-1
1192650505639,4
1192730211867_0,25
1192730211867_1,29
1201523482192_0,4
1201523482192_1,5
1201523482192_2,-1
1205920582657_1,30
1205920582657_2,31
1205920582657_3,25
1206549323283_1,32
1209262915041_0,13
1209262915041_1,33
121234162884,18
1215171839927,16
1216305769895,1
122213356152_0,34
122213356152_1,3
1232484966560,2
1236909075622_1,24
1242453586796_1,35
1251025306368_1,36
1255324969195,2
1255858822998,1
1258203748971,1
1259204070591_1,37
1261385571404_0,28
1261385571404_1,1
1265622226823,-1
1270372031775,16
1276211575150_0,5
1276211575150_1,38
128440559388_0,39
128440559388_1,17
128685049804,4
1288179028437_0,-1
1288179028437_1,-1
1304617187137,40
1306106974101,18
1307930313586,41
1311622146197_1,-1
1311622146197_2,42
1311622146197_3,5
1311622146197_4,43
1311622146197_5,-1
131449352049,44
1316612507478_0,9
1316612507478_1,34
1316612507478_2,-1
1316612507478_3,45
1319823649206,-1
1322658098007,45
132426234616,16
1325142123610,18
132582849876_0,46
132582849876_1,47
1327311148596_1,24
1343869542518,4
1353316669332,1
1357728793140,-1
1358400875110,48
1360718971187_1,49
1365927753479,18
13663315097,-1
1366485088744,50
1366573901991,16
1367986211190,4
1373753233182,16
1375197001669,4
1375944211751,1
1380389416762_0,28
1380389416762_1,4
1381305563333,40
1382412420222,12
1387918661811_1,16
1388942782993,51
1398178088884_0,25
1398178088884_1,-1
1405985474759,9
1408870330759_1,52
1408870330759_2,53
1409139727842,4
141148153079,4
1411818318686,-1
1412177060745_1,-1
1414101342335,0
1421852363413,54
1422439079816_0,28
1422439079816_1,15
1424132422363,1
1425666168071,16
1433084635272,55
1435259886128,4
1438053356376_1,55
1438069199560,1
1439287998597,56
1441410703010,16
1452024795840,1
1452746036184,9
1453159653180,-1
1453576199100,4
1453858771085_1,-1
1457583849386_1,3
1457583849386_2,5
1457583849386_3,57
1461807253251,1
14633891728_1,32
1465287053674,-1
146709919904_0,58
146709919904_1,3
1467879305360_0,-1
1467879305360_1,43
1467879305360_2,59
1467879305360_3,4
1469900641107,-1
1471361367924,24
1471834394098,-1
1472275691416,1
1473710772375,16
1478369640691,60
1494135332395_1,-1
1494430852953,18
1495372434992,16
1496627784868_1,-1
1509411071873,40
1511389725767,0
1513127336913,1
1514645864613_0,-1
1514645864613_1,-1
1515259047558,4
1516918319832,4
1519712680652,61
1525618083818_1,7
1525618083818_2,24
1526687065720,62
1532145512835,50
1535705070580,16
153715402013,1
1540555220419_0,4
1540555220419_1,4
1542460615750_1,24
1543017393095,16
154365400094_1,13
1550131826597_0,63
1550131826597_1,4
1550131826597_2,3
1552044319847,25
155289721923_1,64
1553842532048,-1
1557178957153,1
1557424651792,4
155809696287,65
1559178613369_0,3
1559178613369_1,46
1559178613369_2,7
1559178613369_3,3
1559190566912_0,25
1559190566912_1,4
1559496925502,1
1559607604441,33
157157004615_0,63
157157004615_1,4
157157004615_2,3
1571891920618,66
1573405708139,67
1577656158578,1
1588662751750_1,-1
1589193263802,4
159004969304_0,14
159004969304_1,-1
159004969304_2,68
1598784843827_1,69
1598784843827_2,5
1598784843827_3,70
160132769620,18
1602013932872,40
1602088116489,71
1602980670362,60
1611436909945,72
1613996307301_1,-1
1623048549820,19
1623661837173,73
1625727400694,-1
1625906441600_1,-1
1625906441600_2,74
1628500326124_0,7
1628500326124_1,7
1628500326124_2,57
1630058727003_1,75
1631646182433,13
1634113588625,7
1639701386814,1
1647303889417_1,16
1654870984848,56
1657219194455_0,39
1657219194455_1,17
1666868628102_0,-1
1666868628102_1,76
1674332854591,4
