INCIDENCECODE,LABEL,INCIDENCEDATE,GTICODE
1007314995715,volvía,2016-06-16 08:24:06,8.26.1504.10 M
1014902821262,volvía,2016-04-28 20:57:17,8.36.1500.10 O
1017842527711,volvía,2016-09-21 12:28:09,8.43.1543.30 K
1018909157155_0,volvía,2016-09-09 17:54:43,8.36.1500.10 P
1018909157155_1,proporcional,2016-09-09 17:54:43,8.36.1500.10 P
1022353900726,vivido,2016-08-31 14:07:19,8.36.1508.10 B
1024796026082_0,órganos,2016-09-26 09:56:54,8.28.1509.10 K
1024796026082_1,órganos,2016-09-26 09:56:54,8.28.1509.10 K
1026362296318_1,últimas,2016-07-18 11:25:14,8.99.1451.30 A
1032058273483,xunta,2016-07-05 08:31:24,8.33.1512.30 D
1032523929451_0,reconocido,2016-06-24 14:11:55,8.32.1546.30 H
1032523929451_1,volar,2016-06-24 14:11:55,8.32.1546.30 H
1033769207982_1,streisand,2016-07-11 19:37:30,8.47.1503.30 D
1033769207982_2,streisand,2016-07-11 19:37:30,8.47.1503.30 D
1036294620514_1,últimas,2016-07-21 21:19:57,M0051MCX0025
1041776938910_1,ver,2016-07-06 12:45:44,8.47.1503.30 D
1041776938910_2,streisand,2016-07-06 12:45:44,8.47.1503.30 D
1041776938910_3,streisand,2016-07-06 12:45:44,8.47.1503.30 D
1044626769953,unión,2016-05-17 18:34:12,8.36.1505.20 K
1046480399812,últimas,2016-07-16 12:40:49,8.34.1550.40 F
1049262507382_0,vuelve,2016-09-13 14:23:45,8.35.1504.30 M
1049262507382_1,volar,2016-09-13 14:23:45,8.35.1504.30 M
1049262507382_2,ángel,2016-09-13 14:23:45,8.35.1504.30 M
1051791715381,últimas,2016-04-20 18:27:22,8.32.1533.10 D
105613796720_0,últimas,2016-04-11 14:04:55,8.21.1523.10 D
105613796720_1,últimas,2016-04-11 14:04:55,8.21.1523.10 D
105613796720_2,últimas,2016-04-11 14:04:55,8.21.1523.10 D
105613796720_3,órganos,2016-04-11 14:04:55,8.21.1523.10 D
105613796720_4,órganos,2016-04-11 14:04:55,8.21.1523.10 D
105613796720_5,últimas,2016-04-11 14:04:55,8.21.1523.10 D
1057827755372,restaurar,2016-09-19 13:25:20,8.47.1503.30 D
1059063774211_1,tuvo,2016-06-20 14:04:08,8.22.1502.30 J
1061225447191,últimas,2016-05-16 08:57:26,8.36.1508.10 A
1063965100685,volvía,2016-10-03 20:30:39,8.32.1506.10 H
1066939042652_0,órganos,2016-08-05 11:00:20,M0052MCX0019
1066939042652_1,órganos,2016-08-05 11:00:20,M0052MCX0019
1068470745703,volara,2016-06-13 10:31:39,8.28.1458.30 E
1073457361521,volvía,2016-08-31 16:06:47,8.36.1500.10 P
1075960733328_0,últimas,2016-10-10 13:13:46,8.34.1543.30 K
1075960733328_1,últimas,2016-10-10 13:13:46,8.34.1543.30 K
1075960733328_2,zidane,2016-10-10 13:13:46,8.34.1543.30 K
1080318735722_0,viernes,2016-06-20 13:06:14,M0051MCX0008
1080318735722_1,xunta,2016-06-20 13:06:14,M0051MCX0008
108204208405,vez,2016-10-06 12:40:39,8.43.1541.30 K
1086214712990,órganos,2016-08-25 10:27:48,8.34.1509.30 J
1087122983555_0,revelan,2016-09-22 12:32:13,M0046MCX0090
1087122983555_1,últimas,2016-09-22 12:32:13,M0046MCX0090
1092110887512,volara,2016-07-16 08:20:44,8.34.1550.40 F
1095579806308_0,viernes,2016-05-04 14:21:19,8.32.1501.10 J
1095579806308_1,últimas,2016-05-04 14:21:19,8.32.1501.10 J
1097176519054,últimas,2016-09-23 16:31:04,8.28.1452.30 N
1097948578620_1,órganos,2016-05-20 11:31:59,8.43.1542.30 M
1099843598406_0,volar,2016-07-26 18:50:20,M0052MCX0017
1099843598406_1,vivido,2016-07-26 18:50:20,M0052MCX0017
1099883759301,volvía,2016-07-14 12:31:20,8.28.1520.10 K
1103859887039,últimas,2016-06-02 19:23:57,8.29.1507.30 K
1107134880894_0,ver,2016-10-07 21:22:49,8.30.1502.10 J
1107134880894_1,ángel,2016-10-07 21:22:49,8.30.1502.10 J
1107134880894_2,últimas,2016-10-07 21:22:49,8.30.1502.10 J
1108943320434,vivido,2016-09-13 17:08:46,M0054MCX0013
1114684862549_0,tenía,2016-07-18 13:47:25,8.29.1602.50 H
1114684862549_1,últimas,2016-07-18 13:47:25,8.29.1602.50 H
1116021803513,sufrir,2016-07-06 14:15:50,8.32.1570.10 F
112217671251,últimas,2016-05-23 08:56:11,8.23.1503.30 I
1124296186622_0,últimas,2016-09-14 13:23:27,8.27.1566.30 F
